Fecha,Hora,Área Solicitante,N° OT,Evento / Actividad,Requerimientos,Prioridad,Categoría,Estado
29/05/2026,08:00,Seguridad,OT-00125,Simulacro Multipeligro,Coordinación con brigadas y rutas de evacuación,Alta,Institucional,Ejecutado
31/05/2026,08:00,VGU,OT-81043,evento lote 28,"4 toldos, 4 mesas, 4 manteles, sillas",Alta,Institucional,Pendiente
31/05/2026,08:00,Psicopedagogico,CORREO,evento lote 28,1 extension para parlante,Alta,Institucional,Pendiente
31/05/2026,09:00,Enfermeria,CORREO,Auditorio Pabellon O,"Sillas, Podium, Mesas",Alta,Institucional,Pendiente
31/05/2026,09:00,Estomatologia,,Canchas deportivas,ninguno,Medio,Institucional,Pendiente
30/05/2026,08:00,Servicios Generrales,,Cumpleaños Juan Hernandez,,Alta,Equipo villa,Ejecutado
01/06/2026,08:00,SST,CORREO,Capacitacion SST,Presencial,Alta,Corporativo,Pendiente
